time,stage_id,disturbance_force_N_profile,enable,reset,x_ref_m_profile,x_m,theta_rad,theta_hat_rad,bias_hat_rps,force_cmd_N,x_dot_mps,theta_dot_rps,theta_meas_rad,theta_dot_meas_rps,theta_dot_hat_rps
15.819,stage1,0.0,True,False,0.2,0.8724567492405451,-17.02825177506508,-17.42026593887024,-0.3131638195637856,-12.254508110037174,-12.493161854514634,12.748637222752027,1.8207606182260854,12.77576616333121,13.088929982894996
15.82,stage1,0.0,True,False,0.2,0.8599635873860374,-17.015503137842334,-17.412070939151807,-0.31292381956378573,-12.3094179478364,-12.536738530614562,12.745127263766731,1.8390399685904306,12.771358754349679,13.084282573913464
15.821,stage1,0.0,True,False,0.2,0.8474268488554297,-17.002758010578574,-17.403867157374425,-0.3126838195637859,-12.363229588879642,-12.578575988638969,12.741302454185412,1.8476740712563355,12.811457861924028,13.124141681487814
15.822,stage1,0.0,True,False,0.2,0.8348482728667977,-16.990016708124397,-17.395624061023756,-0.31244381956378603,-12.415964997102021,-12.618667651885826,12.737284370727801,1.8578435816979848,12.805332721918973,13.117776541482758
15.823,stage1,0.0,True,False,0.2,0.8222296052148965,-16.977279423753654,-17.387224743001344,-0.31220381956378573,-12.467645697160044,-12.657006749460928,12.733195002926816,1.8738977616351136,12.789741494358042,13.101945313921828
15.824,stage1,0.0,True,False,0.2,0.8095725984654426,-16.964546228750734,-17.37874993836699,-0.3119638195637859,-12.518292783216815,-12.693586320931976,12.729156714225544,1.886071410255358,12.782040465419653,13.09400428498344
15.825,stage1,0.0,True,False,0.2,0.7968790121445176,-16.951817072036516,-17.370297285303494,-0.31172381956378603,-12.56792692755245,-12.728399221770111,12.725292204011712,1.8934386363469144,12.810184053370234,13.12190787293402
15.826,stage1,0.0,True,False,0.2,0.7841506129227319,-16.939091779832488,-17.361626911000744,-0.31148381956378574,-12.616568389001461,-12.761438129534529,12.721724470496424,1.9127773513721777,12.76786724468771,13.079351064251497
15.827,stage1,0.0,True,False,0.2,0.7713891747932045,-16.926370055362,-17.352976768937836,-0.3112438195637859,-12.664237021221405,-12.792695550758385,12.718576774346921,1.9204361136836745,12.77967827904448,13.090922098608267
15.828,stage1,0.0,True,False,0.2,0.7585964792424532,-16.91365147858766,-17.34423669426533,-0.31100381956378603,-12.71095228079695,-12.822163828494903,12.715972602985712,1.933582886226528,12.759943958723074,13.07094777828686
